tconst	averageRating	numVotes
tt0000414	5.5	549
tt0000416	5.5	79
tt0000417	8.2	34313
tt0000420	6.3	1966
tt0000423	5.5	134
tt0000430	6.0	501
tt0000432	5.7	127
tt0000436	6.4	364
tt0000437	5.2	131
tt0000439	7.3	13529
tt0000440	5.4	135
tt0000442	4.5	37
tt0000447	6.4	1576
tt0000451	6.7	570
tt0000452	4.7	72
tt0000455	6.9	1400
tt0000456	4.2	29
tt0000459	4.4	38
tt0000464	4.8	278
tt0000465	7.3	823
tt0000469	5.8	702
tt0000471	5.2	318
tt0000472	6.4	7
tt0000479	5.3	270
tt0000480	5.0	118
tt0000487	7.1	289
tt0000488	7.1	546
tt0000491	3.5	31
tt0000492	4.9	49
tt0000495	6.0	68
tt0000496	6.3	27
tt0000497	5.6	17
tt0000498	6.7	818
tt0000499	7.7	2547
tt0000501	4.6	19
